nm	    Data
537.2	5.146
537.4	5.146
537.6	5.136
537.8	5.116
538.0	5.114
538.2	5.116
538.4	5.115
538.6	5.102
538.8	5.094
539.0	5.099
539.2	5.092
539.4	5.083
539.6	5.073
539.8	5.067
540.0	5.058
540.2	5.064
540.4	5.071
540.6	5.051
540.8	5.053
541.0	5.062
541.2	5.062
541.4	5.058
541.6	5.068
541.8	5.077
542.0	5.079
542.2	5.088
542.4	5.085
542.6	5.094
542.8	5.097
543.0	5.101
543.2	5.105
543.4	5.102
543.6	5.100
543.8	5.095
544.0	5.098
544.2	5.102
544.4	5.112
544.6	5.103
544.8	5.109
545.0	5.112
545.2	5.107
545.4	5.114
545.6	5.108
545.8	5.111
546.0	5.124
546.2	5.122
546.4	5.116
546.6	5.113
546.8	5.121
547.0	5.119
547.2	5.126
